PROCEDIMENTO;HOSPITAL ACCURATA;
   + Pré-Axilas e FI Coxas;5.500,00;6.000,00
   + Pré-Axilas e Culotes;5.500,00;6.000,00
   + Pré-Axilas e Braços;6.000,00;6.500,00
   + Pré-Axilas, FI Coxas e Culotes;5.500,00;6.000,00
   + Pré-Axilas, FI Coxas e Braços;6.000,00;6.500,00
   + Pré-Axilas, Culotes e Braços;6.000,00;6.500,00
   + Pré-Axilas, FI Coxas, Culotes e Braços;6.000,00;6.500,00
   + FI Coxas e Culotes;5.500,00;6.000,00
   + FI Coxas e Braços;6.000,00;6.500,00
   + Culotes e Braços;6.000,00;6.500,00
   + FI Coxas, Culotes e Braços;6.000,00;6.500,00
Abdominoplastia e Lipoaspiração de Abdome, Flancos e Dorso;6.000,00;6.500,00
   + Pré-Axilas;6.000,00;6.500,00
   + FI Coxas;6.000,00;6.500,00
   + Culotes;6.000,00;6.500,00
   + Braços;6.000,00;6.500,00
   + Pré-Axilas e FI Coxas;6.000,00;6.500,00
   + Pré-Axilas e Culotes;6.000,00;6.500,00
   + Pré-Axilas e Braços;6.000,00;6.500,00
   + Pré-Axilas, FI Coxas e Culotes;6.000,00;6.500,00
   + Pré-Axilas, FI Coxas e Braços;6.000,00;6.500,00
   + Pré-Axilas, Culotes e Braços;6.000,00;6.500,00
   + Pré-Axilas, FI Coxas, Culotes e Braços;6.000,00;6.500,00
   + FI Coxas e Culotes;6.000,00;6.500,00
   + FI Coxas e Braços;6.000,00;6.500,00
   + Culotes e Braços;6.000,00;6.500,00
   + FI Coxas, Culotes e Braços;6.000,00;6.500,00
Abdominoplastia e Lipoescultura - Lipoaspiração de Abdome, Flancos e Dorso e Lipoenxertia Glútea;6.300,00;6.800,00
   + Pré-Axilas;6.300,00;6.800,00
   + FI Coxas;6.300,00;6.800,00
   + Culotes;6.300,00;6.800,00
   + Braços;6.300,00;6.800,00
   + Pré-Axilas e FI Coxas;6.300,00;6.800,00
   + Pré-Axilas e Culotes;6.300,00;6.800,00
   + Pré-Axilas e Braços;6.300,00;6.800,00
   + Pré-Axilas, FI Coxas e Culotes;6.300,00;6.800,00
   + Pré-Axilas, FI Coxas e Braços;6.300,00;6.800,00
   + Pré-Axilas, Culotes e Braços;6.300,00;6.800,00
   + Pré-Axilas, FI Coxas, Culotes e Braços;6.300,00;6.800,00
   + FI Coxas e Culotes;6.300,00;6.800,00
   + FI Coxas e Braços;6.300,00;6.800,00
   + Culotes e Braços;6.300,00;6.800,00
   + FI Coxas, Culotes e Braços;6.300,00;6.800,00
Retirada de Fuso Cutâneo em Abdome Inferior;1.800,00;-
Flancoplastia e Lipoaspiração de Flancos;3.000,00;3.500,00
Cruroplastia;3.400,00;3.900,00
Braquioplastia;3.500,00;4.000,00
Ninfoplastia;1.800,00;-
  + Lipoenxertia de Grandes Lábios;2.300,00;-
Tratamento Cirúrgico de Cicatriz Pequena com Anestesia Local;800,00;-
Tratamento Cirúrgico de Cicatriz Média com Anestesia Local;1.000,00;-
Tratamento Cirúrgico de Cicatriz Média com Sedação;1.800,00;-
Tratamento Cirúrgico de Cicatriz Grande com Sedação;1.800,00;-
Blefaroplastia Superior com Anestesia Local;1.500,00;-
Blefaroplastia Superior com Sedação;2.300,00;-
Blefaroplastia Inferior com Sedação;2.300,00;-
Blefaroplastia Superior e Inferior;3.300,00;-
Otoplastia;2.900,00;3.400,00
