PROCEDIMENTO;Complexidade A;;;Complexidade B;;;Complexidade C;;
;Total;Cirurgia;Anestesia;Total;Cirurgia;Anestesia;Total;Cirurgia;Anestesia
   + FI Coxas, Braços;32.000,00;28.000,00;4.000,00;35.000,00;31.000,00;4.000,00;38.000,00;34.000,00;4.000,00
   + Culotes, Braços;32.000,00;28.000,00;4.000,00;35.000,00;31.000,00;4.000,00;38.000,00;34.000,00;4.000,00
   + FI Coxas, Culotes, Braços;34.000,00;30.000,00;4.000,00;37.000,00;33.000,00;4.000,00;40.000,00;36.000,00;4.000,00
   + Coxas (circunferencial);36.000,00;32.000,00;4.000,00;39.000,00;35.000,00;4.000,00;42.000,00;38.000,00;4.000,00
Abdominoplastia + Lipoaspiração Abdome, Flancos, Dorso;31.000,00;27.000,00;4.000,00;34.000,00;30.000,00;4.000,00;37.000,00;33.000,00;4.000,00
   + Pré-Axilas;32.000,00;28.000,00;4.000,00;35.000,00;31.000,00;4.000,00;38.000,00;34.000,00;4.000,00
   + FI Coxas;34.000,00;30.000,00;4.000,00;37.000,00;33.000,00;4.000,00;40.000,00;36.000,00;4.000,00
   + Culotes;34.000,00;30.000,00;4.000,00;37.000,00;33.000,00;4.000,00;40.000,00;36.000,00;4.000,00
   + Braços;34.000,00;30.000,00;4.000,00;37.000,00;33.000,00;4.000,00;40.000,00;36.000,00;4.000,00
   + Pré-Axilas, FI Coxas;34.000,00;30.000,00;4.000,00;37.000,00;33.000,00;4.000,00;40.000,00;36.000,00;4.000,00
   + Pré-Axilas, Culotes;34.000,00;30.000,00;4.000,00;37.000,00;33.000,00;4.000,00;40.000,00;36.000,00;4.000,00
   + Pré-Axilas, Braços;34.000,00;30.000,00;4.000,00;37.000,00;33.000,00;4.000,00;40.000,00;36.000,00;4.000,00
   + Pré-Axilas, FI Coxas, Culotes;36.000,00;32.000,00;4.000,00;39.000,00;35.000,00;4.000,00;42.000,00;38.000,00;4.000,00
   + Pré-Axilas, FI Coxas, Braços;37.000,00;33.000,00;4.000,00;40.000,00;36.000,00;4.000,00;43.000,00;39.000,00;4.000,00
   + Pré-Axilas, Culotes, Braços;37.000,00;33.000,00;4.000,00;40.000,00;36.000,00;4.000,00;43.000,00;39.000,00;4.000,00
   + Pré-Axilas, FI Coxas, Culotes, Braços;39.000,00;35.000,00;4.000,00;42.000,00;38.000,00;4.000,00;45.000,00;41.000,00;4.000,00
   + FI Coxas, Culotes;36.000,00;32.000,00;4.000,00;39.000,00;35.000,00;4.000,00;42.000,00;38.000,00;4.000,00
   + FI Coxas, Braços;37.000,00;33.000,00;4.000,00;40.000,00;36.000,00;4.000,00;43.000,00;39.000,00;4.000,00
   + Culotes, Braços;37.000,00;33.000,00;4.000,00;40.000,00;36.000,00;4.000,00;43.000,00;39.000,00;4.000,00
   + FI Coxas, Culotes, Braços;39.000,00;35.000,00;4.000,00;42.000,00;38.000,00;4.000,00;45.000,00;41.000,00;4.000,00
   + Coxas (circunferencial);41.000,00;37.000,00;4.000,00;44.000,00;40.000,00;4.000,00;47.000,00;43.000,00;4.000,00
Abdominoplastia + Lipoaspiração Abdome, Flancos, Dorso + Lipoenxertia Glútea;33.000,00;28.000,00;5.000,00;36.000,00;31.000,00;5.000,00;39.000,00;34.000,00;5.000,00
   + Pré-Axilas;34.000,00;29.000,00;5.000,00;37.000,00;32.000,00;5.000,00;40.000,00;35.000,00;5.000,00
   + FI Coxas;36.000,00;31.000,00;5.000,00;39.000,00;34.000,00;5.000,00;42.000,00;37.000,00;5.000,00
   + Culotes;36.000,00;31.000,00;5.000,00;39.000,00;34.000,00;5.000,00;42.000,00;37.000,00;5.000,00
   + Braços;36.000,00;31.000,00;5.000,00;39.000,00;34.000,00;5.000,00;42.000,00;37.000,00;5.000,00
   + Pré-Axilas, FI Coxas;36.000,00;31.000,00;5.000,00;39.000,00;34.000,00;5.000,00;42.000,00;37.000,00;5.000,00
   + Pré-Axilas, Culotes;36.000,00;31.000,00;5.000,00;39.000,00;34.000,00;5.000,00;42.000,00;37.000,00;5.000,00
   + Pré-Axilas, Braços;36.000,00;31.000,00;5.000,00;39.000,00;34.000,00;5.000,00;42.000,00;37.000,00;5.000,00
