PROCEDIMENTO;A;;;B;;;C;;
;Total;Cirurgia;Anestesia;Total;Cirurgia;Anestesia;Total;Cirurgia;Anestesia
   + Pré-Axilas, FI Coxas, Culotes e Braços;41.000,00;36.000,00;5.000,00;44.000,00;39.000,00;5.000,00;47.000,00;42.000,00;5.000,00
   + FI Coxas e Culotes;38.000,00;33.000,00;5.000,00;41.000,00;36.000,00;5.000,00;44.000,00;39.000,00;5.000,00
   + FI Coxas e Braços;39.000,00;34.000,00;5.000,00;42.000,00;37.000,00;5.000,00;45.000,00;40.000,00;5.000,00
   + Culotes e Braços;39.000,00;34.000,00;5.000,00;42.000,00;37.000,00;5.000,00;45.000,00;40.000,00;5.000,00
   + FI Coxas, Culotes e Braços;41.000,00;36.000,00;5.000,00;44.000,00;39.000,00;5.000,00;47.000,00;42.000,00;5.000,00
Retirada de Fuso Cutâneo em Abdome Inferior;10.000,00;8.000,00;2.000,00;13.000,00;11.000,00;2.000,00;16.000,00;14.000,00;2.000,00
Flancoplastia e Lipoaspiração de Flancos;22.000,00;19.000,00;3.000,00;25.000,00;22.000,00;3.000,00;32.000,00;29.000,00;3.000,00
Cruroplastia;35.000,00;32.000,00;3.000,00;38.000,00;35.000,00;3.000,00;43.000,00;40.000,00;3.000,00
Braquioplastia;35.000,00;32.000,00;3.000,00;38.000,00;35.000,00;3.000,00;43.000,00;40.000,00;3.000,00
Ninfoplastia;15.000,00;13.000,00;2.000,00;17.000,00;15.000,00;2.000,00;19.000,00;17.000,00;2.000,00
  + Lipoenxertia de Grandes Lábios;17.000,00;15.000,00;2.000,00;19.000,00;17.000,00;2.000,00;21.000,00;19.000,00;2.000,00
Tratamento Cirúrgico de Cicatriz Pequena com Anestesia Local;5.000,00;5.000,00;0,00;-;-;-;-;-;-
Tratamento Cirúrgico de Cicatriz Média com Anestesia Local;7.000,00;7.000,00;0,00;-;-;-;-;-;-
Tratamento Cirúrgico de Cicatriz Média com Sedação;8.000,00;7.000,00;1.000,00;-;-;-;-;-;-
Tratamento Cirúrgico de Cicatriz Grande com Sedação;9.000,00;8.000,00;1.000,00;-;-;-;-;-;-
Blefaroplastia Superior com Anestesia Local;10.000,00;10.000,00;0,00;-;-;-;-;-;-
Blefaroplastia Superior com Sedação;11.000,00;10.000,00;1.000,00;-;-;-;-;-;-
Blefaroplastia Inferior com Sedação;13.000,00;12.000,00;1.000,00;-;-;-;-;-;-
Blefaroplastia Superior e Inferior;18.000,00;16.000,00;2.000,00;-;-;-;-;-;-
Otoplastia;18.000,00;16.000,00;2.000,00;-;-;-;-;-;-
