PROCEDIMENTO;A;;;B;;;C;;
;Total;Cirurgia;Anestesia;Total;Cirurgia;Anestesia;Total;Cirurgia;Anestesia
   + Face Interna das Coxas e Submento;38.000,00;33.000,00;5.000,00;41.000,00;36.000,00;5.000,00;44.000,00;39.000,00;5.000,00
   + Face Interna das Coxas, Culotes e Braços;40.000,00;35.000,00;5.000,00;43.000,00;38.000,00;5.000,00;46.000,00;41.000,00;5.000,00
   + Face Interna das Coxas, Culotes e Submento;40.000,00;35.000,00;5.000,00;43.000,00;38.000,00;5.000,00;46.000,00;41.000,00;5.000,00
   + Face Interna das Coxas, Braços e Submento;40.000,00;35.000,00;5.000,00;43.000,00;38.000,00;5.000,00;46.000,00;41.000,00;5.000,00
   + Face Interna das Coxas, Culotes, Braços e Submento;43.000,00;38.000,00;5.000,00;46.000,00;41.000,00;5.000,00;49.000,00;44.000,00;5.000,00
   + Culotes e Braços;38.000,00;33.000,00;5.000,00;41.000,00;36.000,00;5.000,00;44.000,00;39.000,00;5.000,00
   + Culotes e Submento;38.000,00;33.000,00;5.000,00;41.000,00;36.000,00;5.000,00;44.000,00;39.000,00;5.000,00
   + Culotes, Braços e Submento;40.000,00;35.000,00;5.000,00;43.000,00;38.000,00;5.000,00;46.000,00;41.000,00;5.000,00
   + Braços e Submento;38.000,00;33.000,00;5.000,00;41.000,00;36.000,00;5.000,00;44.000,00;39.000,00;5.000,00
Abdominoplastia;25.000,00;21.000,00;4.000,00;28.000,00;24.000,00;4.000,00;31.000,00;26.000,00;5.000,00
Abdominoplastia e Lipoaspiração de Abdome e Flancos;27.000,00;23.000,00;4.000,00;30.000,00;26.000,00;4.000,00;33.000,00;29.000,00;4.000,00
   + Pré-Axilas;27.000,00;23.000,00;4.000,00;30.000,00;26.000,00;4.000,00;33.000,00;29.000,00;4.000,00
   + Face Interna das Coxas;30.000,00;26.000,00;4.000,00;33.000,00;29.000,00;4.000,00;36.000,00;32.000,00;4.000,00
   + Culotes;30.000,00;26.000,00;4.000,00;33.000,00;29.000,00;4.000,00;36.000,00;32.000,00;4.000,00
   + Braços;31.000,00;27.000,00;4.000,00;34.000,00;30.000,00;4.000,00;37.000,00;33.000,00;4.000,00
   + Submento;30.000,00;26.000,00;4.000,00;33.000,00;29.000,00;4.000,00;36.000,00;32.000,00;4.000,00
   + Pré-Axilas e Face Interna das Coxas;30.000,00;26.000,00;4.000,00;33.000,00;29.000,00;4.000,00;36.000,00;32.000,00;4.000,00
   + Pré-Axilas e Culotes;30.000,00;26.000,00;4.000,00;33.000,00;29.000,00;4.000,00;36.000,00;32.000,00;4.000,00
   + Pré-Axilas e Braços;31.000,00;27.000,00;4.000,00;34.000,00;30.000,00;4.000,00;37.000,00;33.000,00;4.000,00
   + Pré-Axilas e Submento;30.000,00;26.000,00;4.000,00;33.000,00;29.000,00;4.000,00;36.000,00;32.000,00;4.000,00
   + Pré-Axilas, Face Interna das Coxas e Culotes;32.000,00;28.000,00;4.000,00;35.000,00;31.000,00;4.000,00;38.000,00;34.000,00;4.000,00
   + Pré-Axilas, Face Interna das Coxas e Braços;33.000,00;29.000,00;4.000,00;36.000,00;32.000,00;4.000,00;39.000,00;35.000,00;4.000,00
   + Pré-Axilas, Face Interna das Coxas e Submento;32.000,00;28.000,00;4.000,00;35.000,00;31.000,00;4.000,00;38.000,00;34.000,00;4.000,00
   + Pré-Axilas, Face Interna das Coxas, Culotes e Braços;36.000,00;32.000,00;4.000,00;39.000,00;35.000,00;4.000,00;42.000,00;38.000,00;4.000,00
   + Pré-Axilas, Face Interna das Coxas, Culotes e Submento;34.000,00;30.000,00;4.000,00;37.000,00;33.000,00;4.000,00;40.000,00;36.000,00;4.000,00
   + Pré-Axilas, Face Interna das Coxas, Braços e Submento;35.000,00;31.000,00;4.000,00;38.000,00;34.000,00;4.000,00;41.000,00;37.000,00;4.000,00
   + Pré-Axilas, Face Interna das Coxas, Culotes, Braços e Submento;37.000,00;33.000,00;4.000,00;40.000,00;36.000,00;4.000,00;43.000,00;39.000,00;4.000,00
   + Pré-Axilas, Culotes e Braços;33.000,00;29.000,00;4.000,00;36.000,00;32.000,00;4.000,00;39.000,00;35.000,00;4.000,00
   + Pré-Axilas, Culotes e Submento;32.000,00;28.000,00;4.000,00;35.000,00;31.000,00;4.000,00;38.000,00;34.000,00;4.000,00
   + Pré-Axilas, Culotes, Braços e Submento;34.000,00;30.000,00;4.000,00;37.000,00;33.000,00;4.000,00;40.000,00;36.000,00;4.000,00
   + Pré-Axilas, Braços e Submento;33.000,00;29.000,00;4.000,00;36.000,00;32.000,00;4.000,00;39.000,00;35.000,00;4.000,00
   + Face Interna das Coxas e Culotes;32.000,00;28.000,00;4.000,00;35.000,00;31.000,00;4.000,00;38.000,00;34.000,00;4.000,00
   + Face Interna das Coxas e Braços;33.000,00;29.000,00;4.000,00;36.000,00;32.000,00;4.000,00;39.000,00;35.000,00;4.000,00
   + Face Interna das Coxas e Submento;33.000,00;29.000,00;4.000,00;36.000,00;32.000,00;4.000,00;39.000,00;35.000,00;4.000,00
   + Face Interna das Coxas, Culotes e Braços;35.000,00;31.000,00;4.000,00;38.000,00;34.000,00;4.000,00;41.000,00;37.000,00;4.000,00
   + Face Interna das Coxas, Culotes e Submento;34.000,00;30.000,00;4.000,00;37.000,00;33.000,00;4.000,00;40.000,00;36.000,00;4.000,00
   + Face Interna das Coxas, Braços e Submento;35.000,00;31.000,00;4.000,00;38.000,00;34.000,00;4.000,00;41.000,00;37.000,00;4.000,00
   + Face Interna das Coxas, Culotes, Braços e Submento;37.000,00;33.000,00;4.000,00;40.000,00;36.000,00;4.000,00;43.000,00;39.000,00;4.000,00
   + Culotes e Braços;33.000,00;29.000,00;4.000,00;36.000,00;32.000,00;4.000,00;39.000,00;35.000,00;4.000,00
   + Culotes e Submento;32.000,00;28.000,00;4.000,00;35.000,00;31.000,00;4.000,00;38.000,00;34.000,00;4.000,00
   + Culotes, Braços e Submento;35.000,00;31.000,00;4.000,00;38.000,00;34.000,00;4.000,00;41.000,00;37.000,00;4.000,00
   + Braços e Submento;33.000,00;29.000,00;4.000,00;36.000,00;32.000,00;4.000,00;39.000,00;35.000,00;4.000,00
Abdominoplastia e Lipoaspiração de Abdome, Flancos e Dorso;32.000,00;27.000,00;5.000,00;35.000,00;30.000,00;5.000,00;38.000,00;33.000,00;5.000,00
   + Pré-Axilas;32.000,00;27.000,00;5.000,00;35.000,00;30.000,00;5.000,00;38.000,00;33.000,00;5.000,00
   + Face Interna das Coxas;35.000,00;30.000,00;5.000,00;38.000,00;33.000,00;5.000,00;41.000,00;36.000,00;5.000,00
   + Culotes;35.000,00;30.000,00;5.000,00;38.000,00;33.000,00;5.000,00;41.000,00;36.000,00;5.000,00
   + Braços;35.000,00;30.000,00;5.000,00;38.000,00;33.000,00;5.000,00;41.000,00;36.000,00;5.000,00
   + Submento;35.000,00;30.000,00;5.000,00;38.000,00;33.000,00;5.000,00;41.000,00;36.000,00;5.000,00
   + Pré-Axilas e Face Interna das Coxas;35.000,00;30.000,00;5.000,00;38.000,00;33.000,00;5.000,00;41.000,00;36.000,00;5.000,00
   + Pré-Axilas e Culotes;35.000,00;30.000,00;5.000,00;38.000,00;33.000,00;5.000,00;41.000,00;36.000,00;5.000,00
   + Pré-Axilas e Braços;35.000,00;30.000,00;5.000,00;38.000,00;33.000,00;5.000,00;41.000,00;36.000,00;5.000,00
   + Pré-Axilas e Submento;35.000,00;30.000,00;5.000,00;38.000,00;33.000,00;5.000,00;41.000,00;36.000,00;5.000,00
   + Pré-Axilas, Face Interna das Coxas e Culotes;37.000,00;32.000,00;5.000,00;40.000,00;35.000,00;5.000,00;43.000,00;38.000,00;5.000,00
   + Pré-Axilas, Face Interna das Coxas e Braços;37.000,00;32.000,00;5.000,00;40.000,00;35.000,00;5.000,00;43.000,00;38.000,00;5.000,00
   + Pré-Axilas, Face Interna das Coxas e Submento;37.000,00;32.000,00;5.000,00;40.000,00;35.000,00;5.000,00;43.000,00;38.000,00;5.000,00
   + Pré-Axilas, Face Interna das Coxas, Culotes e Braços;39.000,00;34.000,00;5.000,00;42.000,00;37.000,00;5.000,00;45.000,00;40.000,00;5.000,00
   + Pré-Axilas, Face Interna das Coxas, Culotes e Submento;39.000,00;34.000,00;5.000,00;42.000,00;37.000,00;5.000,00;45.000,00;40.000,00;5.000,00
   + Pré-Axilas, Face Interna das Coxas, Braços e Submento;39.000,00;34.000,00;5.000,00;42.000,00;37.000,00;5.000,00;45.000,00;40.000,00;5.000,00
   + Pré-Axilas, Face Interna das Coxas, Culotes, Braços e Submento;42.000,00;37.000,00;5.000,00;45.000,00;40.000,00;5.000,00;48.000,00;43.000,00;5.000,00
   + Pré-Axilas, Culotes e Braços;37.000,00;32.000,00;5.000,00;40.000,00;35.000,00;5.000,00;43.000,00;38.000,00;5.000,00
   + Pré-Axilas, Culotes e Submento;37.000,00;32.000,00;5.000,00;40.000,00;35.000,00;5.000,00;43.000,00;38.000,00;5.000,00
   + Pré-Axilas, Culotes, Braços e Submento;39.000,00;34.000,00;5.000,00;42.000,00;37.000,00;5.000,00;45.000,00;40.000,00;5.000,00
   + Pré-Axilas, Braços e Submento;37.000,00;32.000,00;5.000,00;40.000,00;35.000,00;5.000,00;43.000,00;38.000,00;5.000,00
   + Face Interna das Coxas e Culotes;37.000,00;32.000,00;5.000,00;40.000,00;35.000,00;5.000,00;43.000,00;38.000,00;5.000,00
   + Face Interna das Coxas e Braços;37.000,00;32.000,00;5.000,00;40.000,00;35.000,00;5.000,00;43.000,00;38.000,00;5.000,00
   + Face Interna das Coxas e Submento;37.000,00;32.000,00;5.000,00;40.000,00;35.000,00;5.000,00;43.000,00;38.000,00;5.000,00
   + Face Interna das Coxas, Culotes e Braços;39.000,00;34.000,00;5.000,00;42.000,00;37.000,00;5.000,00;45.000,00;40.000,00;5.000,00
   + Face Interna das Coxas, Culotes e Submento;39.000,00;34.000,00;5.000,00;42.000,00;37.000,00;5.000,00;45.000,00;40.000,00;5.000,00
   + Face Interna das Coxas, Braços e Submento;39.000,00;34.000,00;5.000,00;42.000,00;37.000,00;5.000,00;45.000,00;40.000,00;5.000,00
   + Face Interna das Coxas, Culotes, Braços e Submento;42.000,00;37.000,00;5.000,00;45.000,00;40.000,00;5.000,00;48.000,00;43.000,00;5.000,00
   + Culotes e Braços;37.000,00;32.000,00;5.000,00;40.000,00;35.000,00;5.000,00;43.000,00;38.000,00;5.000,00
   + Culotes e Submento;37.000,00;32.000,00;5.000,00;40.000,00;35.000,00;5.000,00;43.000,00;38.000,00;5.000,00
   + Culotes, Braços e Submento;39.000,00;34.000,00;5.000,00;42.000,00;37.000,00;5.000,00;45.000,00;40.000,00;5.000,00
   + Braços e Submento;37.000,00;32.000,00;5.000,00;40.000,00;35.000,00;5.000,00;43.000,00;38.000,00;5.000,00
Abdominoplastia e Lipoescultura - Lipoaspiração de Abdome, Flancos e Dorso e Lipoenxertia Glútea;34.000,00;29.000,00;5.000,00;37.000,00;32.000,00;5.000,00;40.000,00;35.000,00;5.000,00
   + Pré-Axilas;34.000,00;29.000,00;5.000,00;37.000,00;32.000,00;5.000,00;40.000,00;35.000,00;5.000,00
   + Face Interna das Coxas;37.000,00;32.000,00;5.000,00;40.000,00;35.000,00;5.000,00;43.000,00;38.000,00;5.000,00
   + Culotes;37.000,00;32.000,00;5.000,00;40.000,00;35.000,00;5.000,00;43.000,00;38.000,00;5.000,00
   + Braços;37.000,00;32.000,00;5.000,00;40.000,00;35.000,00;5.000,00;43.000,00;38.000,00;5.000,00
   + Submento;37.000,00;32.000,00;5.000,00;40.000,00;35.000,00;5.000,00;43.000,00;38.000,00;5.000,00
   + Pré-Axilas e Face Interna das Coxas;37.000,00;32.000,00;5.000,00;40.000,00;35.000,00;5.000,00;43.000,00;38.000,00;5.000,00
   + Pré-Axilas e Culotes;37.000,00;32.000,00;5.000,00;40.000,00;35.000,00;5.000,00;43.000,00;38.000,00;5.000,00
   + Pré-Axilas e Braços;37.000,00;32.000,00;5.000,00;40.000,00;35.000,00;5.000,00;43.000,00;38.000,00;5.000,00
   + Pré-Axilas e Submento;37.000,00;32.000,00;5.000,00;40.000,00;35.000,00;5.000,00;43.000,00;38.000,00;5.000,00
   + Pré-Axilas, Face Interna das Coxas e Culotes;39.000,00;34.000,00;5.000,00;42.000,00;37.000,00;5.000,00;45.000,00;40.000,00;5.000,00
   + Pré-Axilas, Face Interna das Coxas e Braços;39.000,00;34.000,00;5.000,00;42.000,00;37.000,00;5.000,00;45.000,00;40.000,00;5.000,00
   + Pré-Axilas, Face Interna das Coxas e Submento;39.000,00;34.000,00;5.000,00;42.000,00;37.000,00;5.000,00;45.000,00;40.000,00;5.000,00
   + Pré-Axilas, Face Interna das Coxas, Culotes e Braços;41.000,00;36.000,00;5.000,00;44.000,00;39.000,00;5.000,00;47.000,00;42.000,00;5.000,00
   + Pré-Axilas, Face Interna das Coxas, Culotes e Submento;41.000,00;36.000,00;5.000,00;44.000,00;39.000,00;5.000,00;47.000,00;42.000,00;5.000,00
   + Pré-Axilas, Face Interna das Coxas, Braços e Submento;41.000,00;36.000,00;5.000,00;44.000,00;39.000,00;5.000,00;47.000,00;42.000,00;5.000,00
   + Pré-Axilas, Face Interna das Coxas, Culotes, Braços e Submento;44.000,00;39.000,00;5.000,00;47.000,00;42.000,00;5.000,00;50.000,00;45.000,00;5.000,00
   + Pré-Axilas, Culotes e Braços;39.000,00;34.000,00;5.000,00;42.000,00;37.000,00;5.000,00;45.000,00;40.000,00;5.000,00
   + Pré-Axilas, Culotes e Submento;39.000,00;34.000,00;5.000,00;42.000,00;37.000,00;5.000,00;45.000,00;40.000,00;5.000,00
   + Pré-Axilas, Culotes, Braços e Submento;41.000,00;36.000,00;5.000,00;44.000,00;39.000,00;5.000,00;47.000,00;42.000,00;5.000,00
   + Pré-Axilas, Braços e Submento;39.000,00;34.000,00;5.000,00;42.000,00;37.000,00;5.000,00;45.000,00;40.000,00;5.000,00
   + Face Interna das Coxas e Culotes;39.000,00;34.000,00;5.000,00;42.000,00;37.000,00;5.000,00;45.000,00;40.000,00;5.000,00
   + Face Interna das Coxas e Braços;39.000,00;34.000,00;5.000,00;42.000,00;37.000,00;5.000,00;45.000,00;40.000,00;5.000,00
   + Face Interna das Coxas e Submento;39.000,00;34.000,00;5.000,00;42.000,00;37.000,00;5.000,00;45.000,00;40.000,00;5.000,00
   + Face Interna das Coxas, Culotes e Braços;41.000,00;36.000,00;5.000,00;44.000,00;39.000,00;5.000,00;47.000,00;42.000,00;5.000,00
   + Face Interna das Coxas, Culotes e Submento;41.000,00;36.000,00;5.000,00;44.000,00;39.000,00;5.000,00;47.000,00;42.000,00;5.000,00
   + Face Interna das Coxas, Braços e Submento;41.000,00;36.000,00;5.000,00;44.000,00;39.000,00;5.000,00;47.000,00;42.000,00;5.000,00
   + Face Interna das Coxas, Culotes, Braços e Submento;44.000,00;39.000,00;5.000,00;47.000,00;42.000,00;5.000,00;50.000,00;45.000,00;5.000,00
   + Culotes e Braços;39.000,00;34.000,00;5.000,00;42.000,00;37.000,00;5.000,00;45.000,00;40.000,00;5.000,00
   + Culotes e Submento;39.000,00;34.000,00;5.000,00;42.000,00;37.000,00;5.000,00;45.000,00;40.000,00;5.000,00
   + Culotes, Braços e Submento;41.000,00;36.000,00;5.000,00;44.000,00;39.000,00;5.000,00;47.000,00;42.000,00;5.000,00
   + Braços e Submento;39.000,00;34.000,00;5.000,00;42.000,00;37.000,00;5.000,00;45.000,00;40.000,00;5.000,00
Abdominoplastia Circunferencial e Lipoaspiração de Abdome, Flancos e Dorso;40.000,00;34.000,00;6.000,00;43.000,00;37.000,00;6.000,00;46.000,00;40.000,00;6.000,00
   + Pré-Axilas;40.000,00;34.000,00;6.000,00;43.000,00;37.000,00;6.000,00;46.000,00;40.000,00;6.000,00
   + Face Interna das Coxas;43.000,00;37.000,00;6.000,00;46.000,00;40.000,00;6.000,00;49.000,00;43.000,00;6.000,00
   + Culotes;43.000,00;37.000,00;6.000,00;46.000,00;40.000,00;6.000,00;49.000,00;43.000,00;6.000,00
   + Braços;43.000,00;37.000,00;6.000,00;46.000,00;40.000,00;6.000,00;49.000,00;43.000,00;6.000,00
   + Submento;43.000,00;37.000,00;6.000,00;46.000,00;40.000,00;6.000,00;49.000,00;43.000,00;6.000,00
   + Pré-Axilas e Face Interna das Coxas;43.000,00;37.000,00;6.000,00;46.000,00;40.000,00;6.000,00;49.000,00;43.000,00;6.000,00
   + Pré-Axilas e Culotes;43.000,00;37.000,00;6.000,00;46.000,00;40.000,00;6.000,00;49.000,00;43.000,00;6.000,00
   + Pré-Axilas e Braços;43.000,00;37.000,00;6.000,00;46.000,00;40.000,00;6.000,00;49.000,00;43.000,00;6.000,00
   + Pré-Axilas e Submento;43.000,00;37.000,00;6.000,00;46.000,00;40.000,00;6.000,00;49.000,00;43.000,00;6.000,00
   + Pré-Axilas, Face Interna das Coxas e Culotes;45.000,00;39.000,00;6.000,00;48.000,00;42.000,00;6.000,00;51.000,00;45.000,00;6.000,00
   + Pré-Axilas, Face Interna das Coxas e Braços;45.000,00;39.000,00;6.000,00;48.000,00;42.000,00;6.000,00;51.000,00;45.000,00;6.000,00
   + Pré-Axilas, Face Interna das Coxas e Submento;45.000,00;39.000,00;6.000,00;48.000,00;42.000,00;6.000,00;51.000,00;45.000,00;6.000,00
   + Pré-Axilas, Face Interna das Coxas, Culotes e Braços;47.000,00;41.000,00;6.000,00;50.000,00;44.000,00;6.000,00;53.000,00;47.000,00;6.000,00
   + Pré-Axilas, Face Interna das Coxas, Culotes e Submento;47.000,00;41.000,00;6.000,00;50.000,00;44.000,00;6.000,00;53.000,00;47.000,00;6.000,00
   + Pré-Axilas, Face Interna das Coxas, Braços e Submento;47.000,00;41.000,00;6.000,00;50.000,00;44.000,00;6.000,00;53.000,00;47.000,00;6.000,00
   + Pré-Axilas, Face Interna das Coxas, Culotes, Braços e Submento;50.000,00;44.000,00;6.000,00;53.000,00;47.000,00;6.000,00;56.000,00;50.000,00;6.000,00
   + Pré-Axilas, Culotes e Braços;45.000,00;39.000,00;6.000,00;48.000,00;42.000,00;6.000,00;51.000,00;45.000,00;6.000,00
   + Pré-Axilas, Culotes e Submento;45.000,00;39.000,00;6.000,00;48.000,00;42.000,00;6.000,00;51.000,00;45.000,00;6.000,00
   + Pré-Axilas, Culotes, Braços e Submento;47.000,00;41.000,00;6.000,00;50.000,00;44.000,00;6.000,00;53.000,00;47.000,00;6.000,00
   + Pré-Axilas, Braços e Submento;45.000,00;39.000,00;6.000,00;48.000,00;42.000,00;6.000,00;51.000,00;45.000,00;6.000,00
   + Face Interna das Coxas e Culotes;45.000,00;39.000,00;6.000,00;48.000,00;42.000,00;6.000,00;51.000,00;45.000,00;6.000,00
   + Face Interna das Coxas e Braços;45.000,00;39.000,00;6.000,00;48.000,00;42.000,00;6.000,00;51.000,00;45.000,00;6.000,00
   + Face Interna das Coxas e Submento;45.000,00;39.000,00;6.000,00;48.000,00;42.000,00;6.000,00;51.000,00;45.000,00;6.000,00
   + Face Interna das Coxas, Culotes e Braços;47.000,00;41.000,00;6.000,00;50.000,00;44.000,00;6.000,00;53.000,00;47.000,00;6.000,00
   + Face Interna das Coxas, Culotes e Submento;47.000,00;41.000,00;6.000,00;50.000,00;44.000,00;6.000,00;53.000,00;47.000,00;6.000,00
   + Face Interna das Coxas, Braços e Submento;47.000,00;41.000,00;6.000,00;50.000,00;44.000,00;6.000,00;53.000,00;47.000,00;6.000,00
   + Face Interna das Coxas, Culotes, Braços e Submento;50.000,00;44.000,00;6.000,00;53.000,00;47.000,00;6.000,00;56.000,00;50.000,00;6.000,00
   + Culotes e Braços;45.000,00;39.000,00;6.000,00;48.000,00;42.000,00;6.000,00;51.000,00;45.000,00;6.000,00
   + Culotes e Submento;45.000,00;39.000,00;6.000,00;48.000,00;42.000,00;6.000,00;51.000,00;45.000,00;6.000,00
   + Culotes, Braços e Submento;47.000,00;41.000,00;6.000,00;50.000,00;44.000,00;6.000,00;53.000,00;47.000,00;6.000,00
   + Braços e Submento;45.000,00;39.000,00;6.000,00;48.000,00;42.000,00;6.000,00;51.000,00;45.000,00;6.000,00
Abdominoplastia Circunferencial e Lipoescultura - Lipoaspiração de Abdome Flancos e Dorso e Lipoenxertia Glútea;42.000,00;36.000,00;6.000,00;45.000,00;39.000,00;6.000,00;48.000,00;42.000,00;6.000,00
   + Pré-Axilas;42.000,00;36.000,00;6.000,00;45.000,00;39.000,00;6.000,00;48.000,00;42.000,00;6.000,00
   + Face Interna das Coxas;45.000,00;39.000,00;6.000,00;48.000,00;42.000,00;6.000,00;51.000,00;45.000,00;6.000,00
   + Culotes;45.000,00;39.000,00;6.000,00;48.000,00;42.000,00;6.000,00;51.000,00;45.000,00;6.000,00
   + Braços;45.000,00;39.000,00;6.000,00;48.000,00;42.000,00;6.000,00;51.000,00;45.000,00;6.000,00
   + Submento;45.000,00;39.000,00;6.000,00;48.000,00;42.000,00;6.000,00;51.000,00;45.000,00;6.000,00
   + Pré-Axilas e Face Interna das Coxas;45.000,00;39.000,00;6.000,00;48.000,00;42.000,00;6.000,00;51.000,00;45.000,00;6.000,00
   + Pré-Axilas e Culotes;45.000,00;39.000,00;6.000,00;48.000,00;42.000,00;6.000,00;51.000,00;45.000,00;6.000,00
   + Pré-Axilas e Braços;45.000,00;39.000,00;6.000,00;48.000,00;42.000,00;6.000,00;51.000,00;45.000,00;6.000,00
   + Pré-Axilas e Submento;45.000,00;39.000,00;6.000,00;48.000,00;42.000,00;6.000,00;51.000,00;45.000,00;6.000,00
   + Pré-Axilas, Face Interna das Coxas e Culotes;47.000,00;41.000,00;6.000,00;50.000,00;44.000,00;6.000,00;53.000,00;47.000,00;6.000,00
   + Pré-Axilas, Face Interna das Coxas e Braços;47.000,00;41.000,00;6.000,00;50.000,00;44.000,00;6.000,00;53.000,00;47.000,00;6.000,00
   + Pré-Axilas, Face Interna das Coxas e Submento;47.000,00;41.000,00;6.000,00;50.000,00;44.000,00;6.000,00;53.000,00;47.000,00;6.000,00
   + Pré-Axilas, Face Interna das Coxas, Culotes e Braços;49.000,00;43.000,00;6.000,00;52.000,00;46.000,00;6.000,00;55.000,00;49.000,00;6.000,00
   + Pré-Axilas, Face Interna das Coxas, Culotes e Submento;49.000,00;43.000,00;6.000,00;52.000,00;46.000,00;6.000,00;55.000,00;49.000,00;6.000,00
   + Pré-Axilas, Face Interna das Coxas, Braços e Submento;49.000,00;43.000,00;6.000,00;52.000,00;46.000,00;6.000,00;55.000,00;49.000,00;6.000,00
   + Pré-Axilas, Face Interna das Coxas, Culotes, Braços e Submento;52.000,00;46.000,00;6.000,00;55.000,00;49.000,00;6.000,00;58.000,00;52.000,00;6.000,00
   + Pré-Axilas, Culotes e Braços;47.000,00;41.000,00;6.000,00;50.000,00;44.000,00;6.000,00;53.000,00;47.000,00;6.000,00
   + Pré-Axilas, Culotes e Submento;47.000,00;41.000,00;6.000,00;50.000,00;44.000,00;6.000,00;53.000,00;47.000,00;6.000,00
   + Pré-Axilas, Culotes, Braços e Submento;49.000,00;43.000,00;6.000,00;52.000,00;46.000,00;6.000,00;55.000,00;49.000,00;6.000,00
   + Pré-Axilas, Braços e Submento;47.000,00;41.000,00;6.000,00;50.000,00;44.000,00;6.000,00;53.000,00;47.000,00;6.000,00
   + Face Interna das Coxas e Culotes;47.000,00;41.000,00;6.000,00;50.000,00;44.000,00;6.000,00;53.000,00;47.000,00;6.000,00
   + Face Interna das Coxas e Braços;47.000,00;41.000,00;6.000,00;50.000,00;44.000,00;6.000,00;53.000,00;47.000,00;6.000,00
   + Face Interna das Coxas e Submento;47.000,00;41.000,00;6.000,00;50.000,00;44.000,00;6.000,00;53.000,00;47.000,00;6.000,00
   + Face Interna das Coxas, Culotes e Braços;49.000,00;43.000,00;6.000,00;52.000,00;46.000,00;6.000,00;55.000,00;49.000,00;6.000,00
   + Face Interna das Coxas, Culotes e Submento;49.000,00;43.000,00;6.000,00;52.000,00;46.000,00;6.000,00;55.000,00;49.000,00;6.000,00
   + Face Interna das Coxas, Braços e Submento;49.000,00;43.000,00;6.000,00;52.000,00;46.000,00;6.000,00;55.000,00;49.000,00;6.000,00
   + Face Interna das Coxas, Culotes, Braços e Submento;52.000,00;46.000,00;6.000,00;55.000,00;49.000,00;6.000,00;58.000,00;52.000,00;6.000,00
   + Culotes e Braços;47.000,00;41.000,00;6.000,00;50.000,00;44.000,00;6.000,00;53.000,00;47.000,00;6.000,00
   + Culotes e Submento;47.000,00;41.000,00;6.000,00;50.000,00;44.000,00;6.000,00;53.000,00;47.000,00;6.000,00
   + Culotes, Braços e Submento;49.000,00;43.000,00;6.000,00;52.000,00;46.000,00;6.000,00;55.000,00;49.000,00;6.000,00
   + Braços e Submento;47.000,00;41.000,00;6.000,00;50.000,00;44.000,00;6.000,00;53.000,00;47.000,00;6.000,00
Torsoplastia e Lipoaspiração de Dorso;27.000,00;22.000,00;5.000,00;30.000,00;25.000,00;5.000,00;33.000,00;28.000,00;5.000,00
Torsoplastia e Lipoescultura - Lipoaspiração de Dorso e Lipoenxertia Glútea;29.000,00;24.000,00;5.000,00;32.000,00;27.000,00;5.000,00;35.000,00;30.000,00;5.000,00
Flancoplastia e Lipoaspiração de Abdome e Flancos;24.000,00;21.000,00;3.000,00;27.000,00;24.000,00;3.000,00;30.000,00;27.000,00;3.000,00
Cruroplastia;35.000,00;32.000,00;3.000,00;38.000,00;35.000,00;3.000,00;41.000,00;38.000,00;3.000,00
Braquioplastia;35.000,00;32.000,00;3.000,00;38.000,00;35.000,00;3.000,00;41.000,00;38.000,00;3.000,00
Ninfoplastia;15.000,00;13.000,00;2.000,00;17.000,00;15.000,00;2.000,00;19.000,00;17.000,00;2.000,00
  + Lipoenxertia de Grandes Lábios;17.000,00;15.000,00;2.000,00;19.000,00;17.000,00;2.000,00;21.000,00;19.000,00;2.000,00
Otoplastia;18.000,00;16.000,00;2.000,00;-;-;-;-;-;-
Blefaroplastia Superior com Anestesia Local;10.000,00;10.000,00;0,00;-;-;-;-;-;-
Blefaroplastia Superior com Sedação;11.000,00;10.000,00;1.000,00;-;-;-;-;-;-
Blefaroplastia Inferior;13.000,00;12.000,00;1.000,00;-;-;-;-;-;-
Blefaroplastia Superior e Inferior;18.000,00;16.000,00;2.000,00;-;-;-;-;-;-
Tratamento Cirúrgico de Cicatriz Pequena com Anestesia Local;5.000,00;5.000,00;0,00;-;-;-;-;-;-
Tratamento Cirúrgico de Cicatriz Média com Anestesia Local;7.000,00;7.000,00;0,00;-;-;-;-;-;-
Tratamento Cirúrgico de Cicatriz Média com Sedação;8.000,00;7.000,00;1.000,00;-;-;-;-;-;-
Tratamento Cirúrgico de Cicatriz Grande com Sedação;9.000,00;8.000,00;1.000,00;-;-;-;-;-;-
